ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773241133000,64.084597,-21.9415483333333,0.00,0.00,0.00,true,false,0.00,4.00,0.00,1
1773241141000,64.0855173166667,-21.9392105,0.00,0.00,0.00,false,false,77.42,6.00,46.45,0
1773241145000,64.0860288833333,-21.938271,64.03,54.04,51.34,false,false,73.36,4.00,66.03,0
1773241149000,64.0862299,-21.9379438333333,31.44,31.44,29.86,false,false,29.56,4.00,26.60,0
1773241152000,64.0867399833333,-21.93714,60.55,52.07,49.47,false,false,64.11,3.00,76.93,0
1773241156000,64.0867399833333,-21.93714,13.01,0.00,49.47,true,false,6.76,4.00,6.08,1
1773241160000,64.0873887333333,-21.9361071666667,0.00,0.00,0.00,true,false,0.00,2.00,0.00,1
1773241164000,64.0879438,-21.9352136666667,58.21,45.28,43.01,false,false,75.38,4.00,67.84,0
1773241166000,64.0879438,-21.9352136666667,39.00,0.00,43.01,true,false,5.10,2.00,9.18,1
1773241169000,64.08834875,-21.9344921666667,52.05,43.36,41.19,false,false,49.68,3.00,59.62,0
1773241171000,64.0884245,-21.9343415,42.12,39.77,37.78,false,false,14.67,2.00,26.41,0
1773241175000,64.0884245,-21.9343415,1.62,0.00,37.78,true,false,4.15,4.00,3.74,1
1773241178000,64.0884254666667,-21.9343531666667,0.00,0.00,0.00,true,true,7.26,3.00,8.72,2
1773241180000,64.0884254666667,-21.9343531666667,0.00,0.00,0.00,true,true,1.55,2.00,2.80,3
1773241189000,64.0884254666667,-21.9343531666667,0.00,0.00,0.00,true,true,0.44,9.00,0.18,4
1773241191000,64.0884254666667,-21.9343531666667,0.00,0.00,0.00,true,true,0.01,2.00,0.01,5
1773241195000,64.0884417333333,-21.93432,0.00,0.00,0.00,true,true,2.42,4.00,2.18,6
1773241200000,64.0884417333333,-21.93432,0.00,0.00,0.00,true,true,0.31,5.00,0.22,7
1773241202000,64.0886482166667,-21.9338868333333,22.96,5.49,5.22,false,false,31.14,2.00,56.06,0
1773241206000,64.0889992,-21.9330718333333,53.29,18.88,17.93,false,false,63.71,4.00,57.34,0
1773241211000,64.0893699,-21.932092,48.50,27.36,25.99,false,false,67.83,5.00,48.84,0
1773241213000,64.0893699,-21.932092,28.31,0.00,25.99,true,false,0.60,2.00,1.08,1
1773241216000,64.0897263166667,-21.9310891666667,52.77,47.75,45.37,false,false,55.60,3.00,66.72,0
1773241221000,64.0900585166667,-21.9301783333333,45.42,45.26,43.00,false,false,63.95,5.00,46.04,0
1773241226000,64.0902182833333,-21.9297335,17.74,17.74,16.85,false,false,27.20,5.00,19.59,0
1773241230000,64.0903221,-21.9293993333333,15.86,15.86,15.06,false,false,17.32,4.00,15.59,0
1773241234000,64.0903197666667,-21.929403,1.63,0.00,15.06,true,false,0.62,4.00,0.56,1
1773241237000,64.0903197666667,-21.929403,0.00,0.00,0.00,true,true,2.09,3.00,2.51,2
1773241243000,64.0903197666667,-21.929403,0.00,0.00,0.00,true,true,0.61,6.00,0.37,3
1773241249000,64.0903197666667,-21.929403,0.00,0.00,0.00,true,true,0.03,6.00,0.02,4
1773241252000,64.0903197666667,-21.929403,0.00,0.00,0.00,true,true,0.00,3.00,0.00,5
1773241256000,64.0903197666667,-21.929403,0.00,0.00,0.00,true,true,0.00,4.00,0.00,6
1773241261000,64.0903358666667,-21.9293603333333,0.00,0.00,0.00,true,true,2.74,5.00,1.97,7
1773241266000,64.0904636166667,-21.9290115,17.22,3.89,3.70,false,false,22.31,5.00,16.06,0
1773241270000,64.09057185,-21.928672,19.48,7.76,7.37,false,false,22.01,4.00,19.81,0
1773241272000,64.09057185,-21.928672,11.88,0.00,7.37,true,false,0.35,2.00,0.63,1
1773241275000,64.09057025,-21.928665,0.00,0.00,0.00,true,true,2.68,3.00,3.22,2
1773241279000,64.09057025,-21.928665,0.00,0.00,0.00,true,true,2.54,4.00,2.28,3
1773241285000,64.0906001833333,-21.9285916666667,0.00,0.00,0.00,true,true,4.55,6.00,2.73,4
1773241287000,64.0906001833333,-21.9285916666667,0.00,0.00,0.00,true,true,0.23,2.00,0.41,5
1773241292000,64.09076805,-21.9281095,23.73,6.29,5.98,false,false,30.00,5.00,21.60,0
1773241297000,64.0911217166667,-21.9273276666667,42.32,14.62,13.89,false,false,57.04,5.00,41.07,0
1773241302000,64.0915869833333,-21.9265233333333,48.35,24.05,22.85,false,false,66.57,5.00,47.93,0
1773241307000,64.0921380666667,-21.9258121666667,51.28,35.66,33.87,false,false,70.91,5.00,51.06,0
1773241312000,64.0927527166667,-21.9251271666667,55.17,42.14,40.03,false,false,76.26,5.00,54.91,0
1773241319000,64.0934035166667,-21.9244173333333,36.17,36.17,34.36,false,false,80.42,7.00,41.36,0
1773241322000,64.0940836666667,-21.9236766666667,77.94,53.87,51.17,false,false,82.79,3.00,99.35,0
1773241324000,64.0940836666667,-21.9236766666667,53.11,0.00,51.17,true,false,8.75,2.00,15.75,1
1773241326000,64.0940836666667,-21.9236766666667,0.00,0.00,0.00,true,true,9.56,2.00,17.20,2
1773241333000,64.0951966,-21.9224598333333,0.00,0.00,0.00,true,false,0.00,5.00,0.00,1
1773241339000,64.0967945833333,-21.920705,146.24,64.50,61.27,false,false,196.81,6.00,118.09,0
1773241346000,64.09741585,-21.9199313333333,8.40,8.40,7.98,false,false,87.77,7.00,45.14,0
1773241348000,64.0979211,-21.9191001666667,52.84,52.84,50.20,false,false,63.20,2.00,113.76,0
1773241352000,64.0979211,-21.9191001666667,18.09,18.09,17.18,false,false,14.99,4.00,13.49,0
1773241354000,64.0983081833333,-21.9182448333333,49.80,49.80,47.31,false,false,54.44,2.00,98.00,0
1773241357000,64.0983081833333,-21.9182448333333,27.53,27.53,26.16,false,false,12.09,3.00,14.51,0
1773241359000,64.0985904166667,-21.917483,46.38,46.38,44.06,false,false,42.55,2.00,76.60,0
1773241363000,64.0987988,-21.91687,41.71,34.99,33.24,false,false,45.68,4.00,41.11,0
1773241365000,64.0987988,-21.91687,24.52,0.00,33.24,true,false,0.94,2.00,1.69,1
1773241369000,64.0989764333333,-21.9163506666667,23.12,23.12,21.97,false,false,25.49,4.00,22.94,0
1773241374000,64.09908255,-21.9160418333333,12.82,12.82,12.18,false,false,18.85,5.00,13.57,0
1773241376000,64.09908255,-21.9160418333333,6.83,0.00,12.18,true,false,1.01,2.00,1.81,1
1773241380000,64.0992469333333,-21.9154796666667,25.20,17.77,16.88,false,false,30.73,4.00,27.66,0
1773241385000,64.09935105,-21.9151566666667,15.47,15.47,14.70,false,false,22.46,5.00,16.17,0
1773241387000,64.09935105,-21.9151566666667,8.43,0.00,14.70,true,false,0.95,2.00,1.72,1
1773241389000,64.0993511833333,-21.9151521666667,0.00,0.00,0.00,true,true,2.32,2.00,4.17,2
1773241395000,64.0993511666667,-21.915152,0.00,0.00,0.00,true,true,2.08,6.00,1.25,3
1773241398000,64.0993511666667,-21.915152,0.00,0.00,0.00,true,true,0.12,3.00,0.14,4
1773241400000,64.0993938333333,-21.9150921666667,0.00,0.00,0.00,true,true,5.54,2.00,9.97,5
1773241404000,64.09951975,-21.9148861666667,14.90,4.85,4.61,false,false,18.75,4.00,16.87,0
1773241406000,64.09951975,-21.9148861666667,10.77,0.00,4.61,true,false,2.52,2.00,4.54,1
1773241408000,64.09951975,-21.9148861666667,0.00,0.00,0.00,true,true,1.57,2.00,2.83,2
1773241411000,64.09964885,-21.914482,16.59,12.85,12.21,false,false,22.14,3.00,26.56,0
1773241415000,64.0999260333333,-21.9136683333333,45.28,21.84,20.75,false,false,54.85,4.00,49.37,0
1773241421000,64.1002609666667,-21.912688,37.47,28.56,27.13,false,false,65.07,6.00,39.04,0
1773241423000,64.1002609666667,-21.912688,21.53,0.00,27.13,true,false,0.52,2.00,0.93,1
1773241425000,64.1002609666667,-21.912688,0.00,0.00,0.00,true,true,5.51,2.00,9.91,2
1773241428000,64.1007463666667,-21.9112751666667,61.76,41.90,39.81,false,false,82.15,3.00,98.58,0
1773241432000,64.1011454666667,-21.9099551666667,82.63,47.78,45.39,false,false,95.15,4.00,85.64,0
1773241435000,64.1011454666667,-21.9099551666667,32.46,0.00,45.39,true,false,3.41,3.00,4.09,1
1773241440000,64.1015161833333,-21.9085338333333,50.97,50.97,48.43,false,false,68.69,5.00,49.45,0
1773241445000,64.1019075666667,-21.9070923333333,0.00,0.00,0.00,true,false,0.00,3.00,0.00,1
1773241451000,64.10239775,-21.905757,0.00,0.00,0.00,true,false,0.00,4.00,0.00,1
1773241457000,64.10365945,-21.903925,0.00,0.00,0.00,false,false,82.14,4.00,73.92,0
1773241459000,64.10365945,-21.903925,44.73,0.00,0.00,true,false,1.21,2.00,2.19,1
1773241462000,64.1043698166667,-21.9035006666667,70.54,65.19,61.93,false,false,71.82,3.00,86.19,0
1773241465000,64.1043698166667,-21.9035006666667,31.45,0.00,61.93,true,false,7.36,3.00,8.84,1
1773241470000,64.1051333333333,-21.9033908333333,56.37,52.00,49.40,false,false,75.29,5.00,54.21,0
1773241474000,64.10605445,-21.9036751666667,0.00,0.00,0.00,false,false,28.36,2.00,51.06,0
1773241480000,64.1061923,-21.9037965,7.00,7.00,6.65,false,false,17.94,6.00,10.76,0
1773241486000,64.1061864,-21.9038045,3.31,0.00,6.65,true,false,2.44,6.00,1.47,1
1773241492000,64.1062127166667,-21.9038353333333,0.00,0.00,0.00,true,true,2.67,6.00,1.60,2
1773241498000,64.10642315,-21.904074,19.59,10.12,9.61,false,false,26.45,6.00,15.87,0
1773241501000,64.10642315,-21.904074,7.69,0.00,9.61,true,false,1.21,3.00,1.46,1
1773241503000,64.1068435166667,-21.9044565,38.72,12.39,11.77,false,false,47.70,2.00,85.87,0
1773241505000,64.1068435166667,-21.9044565,32.29,15.09,14.33,false,false,12.09,2.00,21.76,0
1773241509000,64.1072628666667,-21.9048563333333,41.59,26.86,25.52,false,false,47.54,4.00,42.78,0
1773241511000,64.1072628666667,-21.9048563333333,26.19,0.00,25.52,true,false,1.64,2.00,2.95,1
1773241514000,64.10773725,-21.9052938333333,48.17,43.66,41.48,false,false,50.92,3.00,61.10,0
1773241518000,64.10825815,-21.9057616666667,59.64,40.70,38.67,false,false,68.10,4.00,61.29,0
1773241524000,64.1088305,-21.90626,37.42,37.42,35.55,false,false,69.83,6.00,41.90,0
1773241526000,64.1088305,-21.90626,20.79,0.00,35.55,true,false,1.46,2.00,2.63,1
1773241529000,64.1093933,-21.9067483333333,54.45,50.82,48.28,false,false,61.08,3.00,73.30,0
1773241531000,64.1093933,-21.9067483333333,39.33,0.00,48.28,true,false,8.51,2.00,15.31,1
1773241535000,64.1099315333333,-21.9071403333333,49.47,41.88,39.78,false,false,56.46,4.00,50.81,0
1773241539000,64.1103644166667,-21.9072671666667,45.68,42.58,40.46,false,false,50.24,4.00,45.21,0
1773241541000,64.1103644166667,-21.9072671666667,27.06,0.00,40.46,true,false,1.25,2.00,2.25,1
1773241546000,64.1105440833333,-21.9071711666667,9.14,9.14,8.68,false,false,14.40,5.00,10.37,0
1773241548000,64.1105429666667,-21.907167,4.83,0.00,8.68,true,false,2.43,2.00,4.38,1
1773241552000,64.1105635333333,-21.9071246666667,0.00,0.00,0.00,true,true,1.70,4.00,1.53,2
1773241556000,64.1105635333333,-21.9071246666667,0.00,0.00,0.00,true,true,0.49,4.00,0.44,3
1773241559000,64.1106890333333,-21.9068436666667,14.93,8.31,7.89,false,false,19.45,3.00,23.34,0
1773241563000,64.1108618333333,-21.9072656666667,22.43,7.54,7.17,false,false,28.21,4.00,25.39,0
