ts,old_speed,new_speed,new_is_stale,new_is_stat
1773242671000,41.23,38.49,false,false
1773242674000,38.92,38.11,false,false
1773242679000,31.58,35.67,false,false
1773242684000,43.23,36.24,false,false
1773242686000,43.23,36.24,true,false
1773242690000,36.73,37.28,false,false
1773242696000,36.20,35.60,false,false
1773242699000,44.19,38.24,false,false
1773242704000,44.77,40.71,false,false
1773242707000,44.77,40.71,true,false
1773242712000,31.76,37.91,false,false
1773242716000,27.16,32.92,false,false
1773242718000,27.16,32.92,true,false
1773242721000,19.98,31.93,false,false
1773242724000,26.26,28.53,false,false
1773242726000,26.26,28.53,true,false
1773242732000,4.57,20.85,false,false
1773242737000,26.94,21.94,false,false
1773242739000,26.77,23.87,false,false
1773242741000,26.77,23.87,true,false
1773242745000,16.96,23.73,false,false
1773242747000,16.96,23.73,true,false
1773242750000,19.44,21.64,false,false
1773242752000,19.44,21.64,true,false
1773242754000,19.72,21.58,false,false
1773242762000,12.24,18.87,false,false
1773242764000,12.24,15.80,false,false
1773242767000,0.00,15.80,true,false
1773242772000,0.00,15.80,true,false
1773242775000,0.00,15.80,true,false
1773242849000,16.15,14.60,false,false
1773242853000,17.44,14.90,false,false
1773242856000,17.44,14.90,true,false
1773242860000,19.44,15.78,false,false
1773242862000,21.04,16.85,false,false
1773242868000,10.47,12.82,false,false
1773242873000,23.69,18.50,false,false
1773242876000,23.69,18.50,true,false
1773242883000,19.30,19.12,false,false
1773242888000,19.30,19.12,true,false
1773242893000,0.00,12.34,false,false
1773242899000,11.34,12.89,false,false
1773242902000,11.34,12.89,true,false
1773242907000,13.60,14.09,false,false
1773242911000,24.06,15.97,false,false
1773242913000,37.40,19.79,false,false
1773242917000,37.40,19.79,true,false
1773242922000,26.67,24.47,false,false
1773242926000,32.95,26.54,false,false
1773242930000,28.01,26.45,false,false
1773242934000,22.28,24.76,false,false
1773242936000,22.28,24.76,true,false
1773242938000,17.62,22.58,false,false
1773242942000,17.62,22.58,true,false
1773242948000,17.08,16.27,false,false
1773242951000,17.08,16.27,true,false
1773242955000,26.25,14.72,false,false
1773242957000,26.25,14.72,true,false
1773242960000,20.06,15.63,false,false
1773242963000,15.85,17.70,false,false
1773242968000,15.85,17.70,true,false
1773242970000,20.29,18.79,false,false
1773242972000,20.29,18.79,true,false
1773242975000,24.10,18.74,false,false
1773242978000,24.10,18.74,true,false
1773242982000,11.77,18.75,false,false
1773242984000,11.77,18.75,true,false
1773242987000,23.28,19.73,false,false
1773242994000,19.12,19.15,false,false
1773242997000,19.12,15.46,false,false
1773242999000,0.00,15.46,true,false
1773243002000,14.14,15.27,false,false
1773243005000,14.14,15.27,true,false
1773243007000,12.57,15.09,false,false
1773243011000,12.57,15.09,true,false
1773243013000,20.41,14.14,false,false
1773243016000,20.41,14.14,true,false
1773243018000,29.92,16.10,false,false
1773243022000,30.68,19.33,false,false
1773243026000,30.68,19.33,true,false
1773243031000,11.03,15.55,false,false
1773243035000,27.45,18.73,false,false
1773243039000,22.37,20.88,false,false
1773243041000,22.37,20.88,true,false
1773243044000,24.32,21.23,false,false
1773243046000,24.32,21.23,true,false
1773243050000,26.29,21.13,false,false
1773243057000,4.47,12.96,false,false
1773243060000,26.03,17.71,false,false
1773243062000,30.41,22.10,false,false
1773243067000,33.88,25.63,false,false
1773243070000,33.88,25.63,true,false
1773243072000,24.83,27.52,false,false
1773243078000,26.43,25.04,false,false
1773243082000,23.93,26.18,false,false
1773243084000,23.93,26.18,true,false
1773243087000,26.95,24.91,false,false
1773243092000,28.79,25.55,false,false
1773243099000,27.35,25.95,false,false
1773243104000,0.00,0.00,true,false
1773243107000,36.50,0.00,false,false
1773243111000,36.50,0.00,true,false
1773243113000,35.01,14.01,false,false
1773243119000,11.07,16.31,false,false
1773243122000,11.07,16.31,true,false
1773243124000,13.70,18.13,false,false
1773243126000,13.70,18.13,true,false
1773243134000,6.97,17.74,false,false
1773243137000,10.45,16.10,false,false
1773243141000,10.45,11.35,false,false
1773243143000,0.00,11.35,true,false
1773243149000,0.00,11.35,true,false
1773243155000,5.96,9.20,false,false
1773243157000,5.96,9.20,true,false
1773243159000,0.00,9.20,true,false
1773243162000,6.60,9.02,false,false
1773243164000,11.09,8.72,false,false
1773243168000,11.09,7.70,false,false
1773243170000,0.00,7.70,true,false
1773243172000,16.09,8.05,false,false
1773243176000,16.09,8.05,true,false
1773243178000,12.37,10.00,false,false
1773243183000,21.46,13.20,false,false
1773243185000,21.46,13.20,true,false
1773243188000,30.65,17.37,false,false
1773243191000,30.65,17.37,true,false
1773243196000,32.82,21.03,false,false
1773243198000,38.33,25.36,false,false
1773243202000,36.55,29.34,false,false
