ts,lat,lng,raw_speed,smooth_speed
1773240443000,64.13695145,-21.8128653333333,32.29,22.29
1773240476000,64.1368569,-21.810694,11.55,18.43
1773240522000,64.1364790333333,-21.8070153333333,14.35,19.47
1773240548000,64.1356805333333,-21.8020405,35.60,23.27
1773240582000,64.1347350833333,-21.7980063333333,23.52,25.75
1773240621000,64.1353778833333,-21.7932751666667,22.19,20.55
1773240673000,64.1376827833333,-21.7911101666667,19.18,22.87
1773240694000,64.1391123,-21.7893726666667,30.84,21.44
1773240739000,64.1393070333333,-21.7848338333333,17.70,21.65
1773240777000,64.1396258666667,-21.780583,19.82,17.45
1773240820000,64.1386745333333,-21.7768383333333,17.60,17.06
1773240849000,64.1382119333333,-21.77432,16.45,13.67
1773240915000,64.1393699333333,-21.7721143333333,9.13,23.95
1773240960000,64.14492405,-21.7741708333333,50.05,24.59
1773241004000,64.1463866666667,-21.770939,18.48,25.80
1773241089000,64.1442113,-21.7747921666667,12.95,30.43
1773241118000,64.1396284,-21.7725566666667,64.68,28.41
1773241169000,64.1382124666667,-21.773956,12.10,31.88
1773241189000,64.13858185,-21.7765568333333,23.88,27.48
1773241206000,64.13965455,-21.780849,50.81,34.15
1773241226000,64.1393569166667,-21.7845848333333,33.15,38.24
1773241249000,64.1393616833333,-21.7894316666667,36.79,31.65
1773241270000,64.1378930666667,-21.7907245,29.99,30.49
1773241302000,64.1357888,-21.793169,29.51,25.46
1773241346000,64.1347490166667,-21.797863,20.89,25.21
1773241374000,64.13569255,-21.8020156666667,29.20,26.47
1773241400000,64.1364555333333,-21.806688,33.51,23.97
1773241451000,64.137185,-21.8100905,12.98,21.81
1773241470000,64.1367368,-21.812298,22.38,18.04
1773241511000,64.1382855666667,-21.815926,21.62,23.24
1773241531000,64.1393101833333,-21.8183388333333,29.40,24.76
1773241548000,64.1403590166667,-21.8172341666667,27.18,24.00
1773241596000,64.1397513833333,-21.8121435,19.20,25.41
1773241619000,64.13854605,-21.8086413333333,33.87,18.95
1773241658000,64.1383552666667,-21.8071893333333,6.79,33.73
1773241697000,64.14474975,-21.8059763333333,65.86,25.23
1773241782000,64.1434079833333,-21.807487,7.04,23.32
1773241905000,64.1432582,-21.8070833333333,0.75,5.25
1773241964000,64.1445394,-21.8066695,8.78,10.16
1773242087000,64.1376476666667,-21.8082473333333,22.54,12.25
1773242128000,64.1384035,-21.8082268333333,7.38,20.07
1773242151000,64.13959865,-21.8116811666667,33.47,22.35
1773242184000,64.1406552,-21.8167495,29.72,29.24
1773242202000,64.139508,-21.8181985,29.13,26.51
1773242224000,64.1383621333333,-21.8164921666667,24.86,26.55
1773242253000,64.1369271833333,-21.8127798333333,29.87,24.09
1773242271000,64.1369193,-21.8105783333333,21.36,24.22
1773242296000,64.1365136833333,-21.8070848333333,25.25,27.59
1773242319000,64.1356839333333,-21.8020991666667,40.51,27.02
1773242360000,64.1347469333333,-21.7980376666667,19.57,26.40
1773242397000,64.1353493333333,-21.7933025,23.28,25.61
1773242423000,64.1376439333333,-21.7912025,38.04,29.38
1773242444000,64.1390957166667,-21.7894038333333,31.46,29.02
1773242481000,64.1393091333333,-21.784739,22.13,31.74
1773242497000,64.139626,-21.7805286666667,46.63,30.99
1773242522000,64.1387126333333,-21.7769243333333,29.11,29.24
1773242554000,64.1382025,-21.7741146666667,16.61,21.14
1773242581000,64.1392920333333,-21.772031,21.04,28.39
1773242625000,64.1449315,-21.7741903333333,52.02,28.32
1773242674000,64.1463511666667,-21.7709473333333,16.37,21.84
1773242849000,64.1464387,-21.771496,0.58,15.46
1773242883000,64.1441544166667,-21.7748256666667,31.87,30.41
1773242913000,64.1395036,-21.7724393333333,63.59,34.42
1773242957000,64.1382280333333,-21.774049,13.25,35.78
1773242970000,64.1385818,-21.7766156666667,36.15,27.30
1773242994000,64.1396509,-21.781043,36.82,38.37
1773243007000,64.1393579333333,-21.7845686666667,48.21,38.19
1773243031000,64.1393649833333,-21.7894588333333,35.58,40.09
1773243046000,64.1378742166667,-21.7908211666667,42.83,37.30
1773243070000,64.1357620333333,-21.7932445,39.40,34.51
1773243104000,64.1347178666667,-21.7978746666667,26.77,29.68
1773243134000,64.13568055,-21.8020646666667,27.57,30.51
1773243155000,64.1364646833333,-21.8067865,42.01,24.41
1773243242000,64.137234,-21.8100771666667,7.49,23.39
1773243260000,64.1367278666667,-21.812305,24.37,21.45
1773243285000,64.1383013666667,-21.8159583333333,35.86,26.64
1773243310000,64.1393431666667,-21.8184108333333,23.91,28.52
1773243326000,64.1404461833333,-21.817269,30.28,26.74
1773243356000,64.13979685,-21.8122883333333,30.25,25.39
1773243398000,64.1385176666667,-21.8085796666667,19.66,17.41
1773243447000,64.13846095,-21.8071645,5.06,15.65
1773243548000,64.1446751333333,-21.8060271666667,24.71,11.23
1773243647000,64.1434283666667,-21.8075345,5.70,10.59
1773243767000,64.14428225,-21.8067953333333,3.04,16.13
1773243770000,64.1445953333333,-21.806694,42.19,19.29
1773243893000,64.1397782833333,-21.8070951666667,15.69,36.13
1773243908000,64.1377258166667,-21.8081866666667,56.23,25.78
1773243937000,64.1384126333333,-21.8082681666667,9.49,31.88
1773243959000,64.1396132666667,-21.8117068333333,34.96,22.98
